id,oth,rol,dur,globPos,pa,pb,do,osb,osa,opb,opa,trans,simpl,size,ouais,oui,mh,laughter,dac,non,ok,ah,voila,mais,bon,et,nbouais,nbmh,phonSplit,prevSize,prevFirstTok,prevLastTok,prevFirstBi,prevLastBi,prevJe,prevTu,prevFeed,othSize,othFirstTok,othLastTok,othFirstBi,othLastBi,othJe,othTu,othFeed,gest,steepness,slope,NanRatio,f0min,f0max,f0stdev,span,height,duration,form1,form2,form3,aperiodAV,intQ1,intQ2,intQ3,intQ1raw,intQ2raw,intQ3raw,steepnessInterl,slopeInterl,NanRatioInterl,f0minInterl,f0maxInterl,f0stdevInterl,spanInterl,heightInterl,durationInterl,aperiodAVInterl,intQ1Interl,intQ2Interl,intQ3Interl,SimScore,TFcompared,contact,ack,evaluation,reponse,invitation,autre,local,global,aucune,contin,pivot,clot,assert,quest,feedback,essai,ordre,incomp,inint,approbation,desap,confirmation,doute,attendu,inattendu,amuse,gene,baseCat,evalCat
MTR_ROX_1_99661,ROY,F,0.253,0.0601631766,3.526,7.305,0,0,0,0.182,0.011,oui,oui,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.3557312253,5,à_la_fin,'d''accord',à_la_fin_de,'arc_d''accord',0,0,1,1,-,-,-,-,0,0,0,NoData,-0.003529,-0.001057,0.641278,-2.323171,5.31512,1.736199,7.638291,-0.074545,1.334,349.080379,3242.568757,6438.637726,0.292132,-5.385405,-1.049686,-0.025381,43.380342,65.40363,70.606589,-0.000232,-0.000354,0.378947,-1.164811,-0.36854,0.144268,0.796271,-0.764688,0.26,66.378995,-1.585411,0.729603,1.063145,0.003297,0.000703,0,0,0.3333333333,0.6666666667,0,0,1,0,0,0,0,0,0.6666666667,0.3333333333,0,0,0,0,0,0.3333333333,0,0,0,0,0,0,0,reponse,None
MTR_VEX_8_69186,VEY,F,1.472,0.2436040127,0.363,2.333,1.472,3.371,0.263,0,0,@ non,complex,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,1,#,#,-,-,0,0,0,4,@,@,@_pas,du_tout_@,0,0,2,NoData,0.000657,0.000178,2.57767,0.236455,1.369413,0.220046,1.132959,1.093068,1.472,292.726977,3727.731464,6858.70843,0.510599,-4.491602,-3.325897,-0.546361,32.378065,40.279995,59.121551,-0.00569,-0.006503,0.470588,-0.140859,1.186286,0.458443,1.327145,0.528958,0.35,59.735596,-2.319375,-0.494439,0.232117,0.006347,0.006682,0,0,0,1,0,0,1,0,0,0,0,0,0.3333333333,0.6666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,reponse,None
CID_YM_1_2607750,AG,-,0.4236349825,0.7294519246,0,0.9619,0,0,0,0.0305,3.3267650175,ouais,ouais,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.3523814804,7,tu,quoi,tu_fais,exploration_quoi,0,1,0,2,ouais,tu,ouais_tu,ouais_tu,0,1,1,NoData,0.00223,0.002104,0.184358,-0.179724,0.260614,0.134294,0.440338,-0.028499,0.4236,176.408101,7767.251699,NaN,0.118577,-0.019988,0.340829,0.479804,71.165867,73.538654,74.452576,0.030834,0.056575,1.056604,-3.086983,-0.384821,1.065615,2.702162,-2.689744,0.2172,56.11074,-1.70385,-1.472778,-1.149804,0.536563,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,evaluation,approbation
CID_LL_1_534009,NH,-,0.145406554,0.1777598342,2.157401189,0.2497934461,0,0,0,11.2597934461,4.8148,ouais,ouais,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,-,-,-,-,0,0,0,6,oui,est,'oui_c''','c''_est',0,0,1,NoData,0.002,0.005479,0.377358,0.202946,0.832731,0.176139,0.629785,0.477818,0.1454,221.574958,6810.577283,NaN,0.33225,-4.285786,-3.883297,-2.689113,33.423595,36.515148,45.687765,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0.1666666667,0,0,0,0.8333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,autre,None
MTR_BLY_3_264038,BLX,G,0.616,0.4576372125,0,0.169,0.194,1.496,0,0,0.099,voilà ouais,complex,2,1,0,0,0,0,0,0,0,1,0,0,0,1,0,-1,1,#,#,-,-,0,0,0,1,#,#,-,-,0,0,0,NoData,0.004892,0.003167,0.166038,-0.628574,2.684509,0.689776,3.313083,-0.347212,0.616,403.624984,1369.846548,3458.341099,0.095378,-0.325792,-0.037643,0.128352,69.00136,70.802263,71.839712,-0.001443,-0.000972,0.477612,-0.210623,3.119731,0.372014,3.330353,0.137514,0.592,57.562636,-1.596171,-0.436189,0.400696,0.006336,0.004138,0,0.25,0.75,0,0,0,1,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0.75,0,0,0,0,0,evaluation,confirmation
MTR_VEX_4_281716,VEY,G,0.32,0.9734236236,0,0.654,0,0,0,7.257,1.157,voilà,voilà,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,1,-,-,-,-,0,0,0,1,mais,mais,-,-,0,0,0,NoData,-0.001201,-0.000434,0.194384,-0.357567,1.573053,0.437479,1.93062,0.894639,1.105,640.519599,3136.756269,7032.660381,0.102692,-0.909394,0.055768,0.426342,57.544283,63.701519,66.065594,-0.008271,-0.006724,0.822222,-0.169406,1.89877,0.601841,2.068176,1.184696,0.49,59.882257,-2.506149,0.09443,0.707426,0.00707,0.00629,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,autre,None
CID_YM_1_1765040,AG,-,0.4457,0.4937253148,3.3702,2.6141,0,0,0,0.2205,0.4197,ah ouais,complex,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,22,oui,que,oui_ben,est_que,0,0,3,4,ah,il,ah_ouais,autant_il,0,0,2,NoData,-0.014124,-0.012667,0.889831,-1.474538,1.117337,0.527757,2.591874,-0.468384,0.4457,143.117922,8935.446656,NaN,0.485761,-2.940838,-1.064395,-0.451609,51.957907,64.297684,68.327458,-0.000117,-0.000103,0.215054,-0.858794,-0.248868,0.086424,0.609926,-0.668905,0.45,55.895976,-1.535175,-1.236754,-0.937972,0.961251,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ack,None
CID_EB_1_2300755,SR,-,4.0042915194,0.600113013,15.5546016691,11.8259371511,1.6216628489,1.9459371511,0,0,-2.0057286705,@,@,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,1,#,#,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,-0.000701,-0.00007,3.594037,-0.901148,7.40153,1.430677,8.302678,1.846939,4.0043,236.596595,2627.242471,6453.207285,0.684284,-4.323159,-3.477414,-1.61829,39.71091,45.323757,57.661965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.6666666667,0,0,0.3333333333,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666667,0,evaluation,amuse
CID_AG_1_873259,YM,-,0.6653,0.2442722814,3.078,6.9098,0.6402,2.583,0,0,0.2839,'ouais c'' est sûr',complex,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,1,#,#,-,-,0,0,0,1,-,-,-,-,0,0,0,NoData,-0.006812,-0.008734,0.418182,-1.199556,-0.081118,0.241702,1.118438,-0.81531,0.31,134.084839,7652.286022,NaN,0.279674,-2.266076,-1.166442,-0.356458,51.814463,59.170191,64.588382,0.006583,0.009681,1.193548,-1.829047,0.870892,0.67118,2.69994,-0.1203,0.27,62.224033,-3.135981,-0.4424,0.015192,0.473731,1,0,0.5,0.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,None,None
MTR_ROX_3_22473,ROY,F,0.343,0.0754467787,2.345,0.892,0,0,0,0.413,3.115,ok,ok,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1,5,de,diamètre,de_dix,de_diamètre,0,0,0,12,une,demi-cercle,une_petite,un_demi-cercle,0,0,1,NoData,0.017138,0.026367,0.566265,-1.088908,0.678002,0.577747,1.766911,-0.706539,0.259,144.288429,2444.786845,6791.567612,0.229295,-2.472871,-1.147792,-0.399952,54.909549,63.203616,67.884577,-0.003417,-0.00312,2.775862,-2.423239,0.86542,0.820277,3.288659,0.799345,0.436,53.576134,-4.426294,-2.937856,0.174092,0.020555,0.029487,0,0.3333333333,0.3333333333,0.3333333333,0,0,1,0,0,0,0,0,0.3333333333,0.3333333333,0,0,0.3333333333,0,0,0,0,0,0,0,0.3333333333,0,0,None,None
MTR_BLX_8_4550,BLY,F,0.792,0.0134906911,3.41,1.148,0.157,0,3.17,0.233,0,non @,complex,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,-1,13,bon,fourmi,bon_alors,la_fourmi,0,2,1,9,*,début,*_allez,ai_début,0,0,0,NoData,-0.011042,-0.012619,5.034483,0.018675,0.345269,0.097703,0.326594,0.235431,0.349,2539.384523,5036.856144,6967.687832,0.659063,-3.330718,-2.300273,-1.568664,43.83161,51.129732,56.311341,0.039588,0.073311,0.6875,-1.51576,5.764723,2.241951,7.280483,-0.724878,0.214,56.388237,-2.850574,-0.752832,-0.105777,0.05063,0.08593,0,0,0,0.3333333333,0,0,1,0,0,0,0,0,0.6666666667,0.3333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,None,None
