slope,prevfirstBi,rol,feedback,simple,intQ1raw,ordre,othSize,essai,prevSize,laugh,osa,EvalFun1,prevRed,prevNbJe,nbouais,size,baseFun0.65,sess,span,mais,EvalFun0.65,intQ2raw,f0max,pb,start,pa,f0stdev,voila,dur,NanRatio,othLastBi,oth,do,non,dac,durationInterl,intQ2Interl,assert,f0min,opa,opb,prevLastBi,height,corpus,baseFun0.74,intQ1Interl,mh,othNbJe,slopeInterl,form2,form1,nbmh,prevNbFeedback,f0maxInterl,trans,oui,NanRatioInterl,ah,intQ3Interl,othFirstTok,f0minInterl,spk,duration,et,intQ3raw,id,form3,incomp,osb,intQ1,intQ3,intQ2,baseFun0.49,aperiodAVInterl,othfirstBi,posDial,baseFun1,othLastTok,prevLastTok,f0stdevInterl,EvalFun0.49,othNbFeedback,aperiodAV,prevNbTu,heightInterl,phonSplit,spanInterl,ouais,othNbTu,ok,steepnessInterl,ndo,EvalFun0.74,steepness,prevFirstTok,quest,inint,bon,gest,sa,othRed
-0.003938,-,-,0,complex,37.161597,0,1,0,1,0,1.3522,None,0,0,0,3,ack,1,1.294764,0,None,54.338374,0.708534,9.9365,295.14,1.968311264,0.34091,0,0.4078,0.342105,-,LL,0.4078,0,0,0.62,-0.580268,0.857142857,-0.586231,0,0,-,-0.064165,CID,None,-2.19184,1,0,0.003727,8277.511793,213.266263,2,0,0.205617,mh + mh,0,0.873494,0,0.068678,#,-3.308387,NH,0.4078,0,57.751038,CID_NH_1_295140,NaN,0.142857143,1.1154,-4.425881,-1.150477,-1.693369,ack,56.487754,-,0.098245459,None,#,-,0.930662,None,0,0.261461,0,-0.747011,-1,3.514004,0,0,0,0.005795,1,None,-0.004017,-,0,0,0,NoData,0,0
-0.001773,'ce_n''',-,0.142857143,complex,57.845216,0,1,0,9,0,0,None,0,0,0,4,autre,1,3.326817,1,None,63.724044,3.118056,0.7508,2966.5615,0.2339,1.120803,0,0.9485,0.376812,-,LL,0.679770814,1,0,1.3685,-2.292924,0.857142857,-0.208761,1.93,0,plus_euh,0.344981,CID,autre,-3.404313,0,0,0.001772,NaN,448.76457,0,0,2.019869,eh non mais bon,0,16.564103,0,-1.224265,#,-4.024793,NH,0.9485,0,66.105196,CID_NH_1_2966561.5,NaN,0,0.688681774,-1.135495,0.178517,-0.200281,autre,48.585592,-,0.987501516,None,#,euh,2.291738,None,0,0.193001,0,0.955859,-1,6.044662,0,0,0,0.006068,0.716679825,None,-0.004212,ce,0,0,1,NoData,0,0
-0.009818,tous_confrontÇ¸s,-,0,ouais,45.135967,0,1,0,2,0,0,None,0,0,1,1,None,1,0.194654,0,None,57.703146,-0.278355,1.06,2971.52,7.779333135,0.043539,0,0.1339,1.233333,-,LL,0.0251,0,0,0.2151,-0.3025,1,-0.473009,1.2661,0,tous_confrontÇ¸s,-0.412515,CID,None,-1.949385,0,0,0.010183,5210.797626,183.018328,0,0,0.647955,ouais,0,0.367089,0,-0.156835,#,0.047763,NH,0.1339,0,59.729577,CID_NH_1_2971520,8562.088592,0,0.787720658,-3.157304,-0.835727,-1.158096,None,58.382238,-,0.989152089,None,#,confrontÇ¸s,0.163687,None,0,0.53404,0,0.266651,-1,0.600191,1,0,0,0.005499,0.187453323,None,-0.003289,tous,0,0,0,NoData,0,0
-0.008623,'aprÇùs_qu''_on',-,0.428571429,ouais,63.203302,0,1,0,4,0,0,None,0,0,1,1,None,1,0.901782,0,None,69.205771,0.713345,1.3326,2983.8342,1.1651,0.138032,0,0.2407,0.440476,-,LL,0,0,0,0.3108,0.097714,0.571428571,-0.188437,12.223945,0.6434,les_appelle,0.106724,CID,None,-1.154875,0,0,-0.001207,2131.99491,307.31969,0,0,0.359417,ouais,0,0.289256,0,0.538071,ouais,0.044323,NH,0.2407,0,71.561668,CID_NH_1_2983834.2,NaN,0,0,-0.283121,1.046542,0.671762,autre,61.518456,-,0.993251209,None,ouais,appelle,0.073078,None,1,0.176042,0,0.126023,0.457000416,0.315094,1,0,0,-0.000941,0,None,-0.005217,'aprÇùs_qu''',0,0,0,NoData,0,0
-0.001482,pas_forcÇ¸ment,-,0.142857143,complex,42.329689,0,2,0,2,0,0,None,0,0,1,3,None,1,1.001244,0,None,58.294882,0.866241,0.5922,31.2622,2.5581,0.253925,0,0.4997,0.5625,pas_forcÇ¸ment,LL,0,0,0,0.4089,-0.727954,0.857142857,-0.135004,3.0781,1.299,pas_forcÇ¸ment,0.180421,CID,None,-0.950469,1,0,0.000368,7984.218211,447.918023,1,0,0.734875,mh + ouais,0,0.138889,0,-0.575581,pas,-0.257147,NH,0.4997,0,65.216981,CID_NH_1_31262.2,NaN,0,0,-3.603732,0.037218,-1.063961,None,58.710521,pas_forcÇ¸ment,0.010406482,None,forcÇ¸ment,forcÇ¸ment,0.251225,None,0,0.157869,0,0.247234,-1,0.992022,1,0,0,0.000377,0,None,-0.001853,pas,0,0,0,NoData,0,0
-0.020414,mais_bon,-,0,complex,43.687999,0,7,0,2,0,0.7831,None,0,0,0,3,ack,1,4.735366,0,None,53.064719,0.316469,1.8361,313.18,0.7131,1.297716,0,0.3869,1.552632,faut_que,LL,0.1963,0,0,0.3106,-0.301031,0.714285714,-4.418898,0,0.07,mais_bon,-0.100566,CID,ack,-2.706452,1,0,0.001064,8592.987967,220.092937,2,0,0.565353,mh + mh,0,0.405405,0,-0.09934,donc,-0.533892,NH,0.3869,0,57.141098,CID_NH_1_313180,NaN,0.285714286,0,-3.387649,-1.247507,-1.895985,ack,56.243942,donc_pour,0.104250569,None,que,bon,0.194531,None,0,0.495862,0,-0.380665,-1,1.099245,0,0,0,0.00083,0.507366245,None,-0.019801,mais,0,0,0,NoData,0,0
-0.000401,mh_+,-,0,complex,39.651907,0,1,0,3,0,0,None,1,0,0,5,None,1,4.076591,0,None,54.589457,0.726337,0.7131,314.28,3.936229096,1.383772,0,0.6456,1.197279,-,LL,0.07,0,0,0.3994,-1.236795,1,-3.350254,1.747309266,0,#NOM?,-0.379624,CID,None,-2.612608,1,0,0.010323,8523.580311,227.353305,3,2,0.915347,mh + mh + mh,0,0.980198,0,-0.366273,#,-3.575409,NH,0.6456,0,58.146647,CID_NH_1_314280,NaN,0,0.9094,-4.029718,-1.087543,-1.653427,ack,54.072728,-,0.104616734,None,#,mh,0.997527,None,0,0.502415,0,0.163666,-1,4.490756,0,0,0,0.010323,0.10842627,None,-0.000648,mh,0,0,0,NoData,0,0
-0.001157,mh_+,-,0,ouais+,63.839397,0,1,0,3,0,0,None,0,0,3,3,None,1,0.466785,0,None,65.105271,0.402424,2.5581,34.32,2.0504,0.125713,0,0.5196,0.087866,-,LL,0,0,0,NaN,NaN,1,-0.064361,0.0004,4.3568,#NOM?,0.188368,CID,None,NaN,0,0,NaN,7798.32047,369.527166,0,2,NaN,ouais ouais ouais,0,NaN,0,NaN,-,NaN,NH,0.5196,0,67.00173,CID_NH_1_34320,10000,0,0,-0.18193,0.321139,0.019447,None,NaN,-,0.011424355,None,-,ouais,NaN,None,0,0.043131,0,NaN,-1,NaN,1,0,0,NaN,0,None,-0.001504,mh,0,0,0,NoData,0,0
-0.000036,-,-,0,ouais+,45.434443,0,1,0,1,0,2.150750485,None,0,0,2,2,None,1,0.724793,0,None,61.632459,0.356174,10.2960604,353.5036,2.3883,0.159978,0,0.7309,0.742857,-,LL,0.7309,0,0,0.11,-0.49788,1,-0.36862,0,0,-,0.074858,CID,None,-3.83955,0,0,0.406804,8394.405028,308.067585,0,0,-0.617893,ouais ouais,0,3.666667,0,0.000282,#,-3.136398,NH,0.7309,0,65.203156,CID_NH_1_353503.6,NaN,0,3.7236,-3.109822,0.035019,-0.533014,evaluation,53.428617,-,0.117673388,None,#,-,0.715498,approbation,0,0.476136,0,-0.660168,-1,2.518505,1,0,0,0.113905,1,None,-0.000066,-,0,0,0,NoData,0,0
-0.002272,-,-,0,complex,54.165743,0,1,0,1,0,0,None,0,0,0,3,ack,1,3.422613,0,None,63.457458,0.345424,11.6837,391.48,3.5517,0.377973,0,0.4683,0.424242,-,LL,0.0158,0,0,0.3198,-1.656862,1,-3.077188,0.244901312,0,-,-0.292765,CID,None,-2.752799,1,0,-0.02523,2197.383418,213.444182,2,0,1.242893,mh + mh,0,1.133333,0,-0.054071,#,-0.135877,NH,0.4683,0,65.040168,CID_NH_1_391480,4788.223572,0,2.474,-1.720832,0.009091,-0.24269,ack,54.327444,-,0.130314876,None,#,-,0.448952,None,0,0.209748,0,0.762395,-1,1.378771,0,0,0,-0.020184,0.033739056,None,-0.00267,-,0,0,0,NoData,0,0
-0.006361,mh_+,-,0,mh+,54.740518,0,1,0,3,0,0.0605,None,0,0,0,2,ack,1,4.714779,0,None,59.031664,0.658876,3.5517,395.5,16.6605,1.301289,0,0.3895,0.625,-,LL,0.3895,0,0,0.1764,-0.169073,0.714285714,-4.055904,0,0,#NOM?,-0.532258,CID,ack,-0.290156,1,0,0.040911,8175.376935,201.327435,2,2,0.204455,mh mh,0,0.508475,0,-0.070168,#,-3.865668,NH,0.3895,0,60.915502,CID_NH_1_395500,NaN,0.285714286,0.8542,-1.629395,-0.647068,-0.946753,ack,64.086027,-,0.131653043,ack,#,mh,0.630602,None,0,0.259127,0,-2.385867,0.359435173,4.070123,0,0,0,0.018205,1,None,-0.006202,mh,0,0,0,NoData,0,0
-0.002606,-,-,0,mh+,59.862577,0,1,0,1,0,0.9142,None,0,0,0,2,ack,1,0.945416,0,None,62.506357,0.360003,16.6605,412.55,7.6342,0.194529,0,0.4058,0.046392,-,LL,0.4058,0,0,0.21,0.246668,0.857142857,-0.585412,0,0,-,-0.22345,CID,ack,-0.560842,1,0,-0.014139,5093.859494,198.526116,2,0,0.407743,mh mh,0,0.606061,0,0.600372,#,-0.17054,NH,0.4058,0,64.712783,CID_NH_1_412550,8468.720852,0.142857143,2.1702,-0.81457,-0.04299,-0.393992,ack,65.627036,-,0.137328604,ack,#,-,0.172619,None,0,0.033355,0,0.294717,0.574702843,0.578283,0,0,0,-0.007494,1,None,-0.002645,-,0,0,0,NoData,0,0
-0.000568,-,-,0,complex,45.544401,0,1,0,1,0,0,None,0,0,1,3,evaluation,1,1.431766,0,approbation,62.139363,0.493504,7.6342,420.59,0.5602,0.214886,0,0.6767,0.4125,-,LL,0.07,0,0,0.1522,-0.509116,1,-0.938262,2.115961218,0,-,-0.263216,CID,None,-0.891115,1,0,0.011909,8813.893065,209.920096,1,0,0.167818,ouais + mh,0,0.040541,0,-0.455748,#,-0.453672,NH,0.6767,0,63.773546,CID_NH_1_420590,NaN,0,1.0422,-3.09233,-0.192406,-0.452375,evaluation,60.976848,-,0.140004939,None,#,-,0.18052,approbation,0,0.443595,0,-0.103625,-1,0.62149,1,0,0,0.004585,0.10344318,None,-0.000963,-,0,0,0,NoData,0,0
0.000691,-,-,0,mh+,57.116673,0,5,0,1,0,0,None,0,0,0,2,ack,1,0.74769,0,None,59.992003,0.710597,12.0134,435.3,0.3464,0.204188,0,0.396,0.05291,va_dire,LL,0,0,0,0.2382,-1.623696,1,-0.037093,13.004,0.0018,-,0.177376,CID,ack,-3.482521,1,0,0.010061,8650.064102,215.532362,2,0,0.534609,mh mh,0,0.846154,0,-0.414898,'m''',-3.695235,NH,0.396,0,61.453627,CID_NH_1_435300,NaN,0,0,-1.251393,-0.561463,-0.79398,ack,51.618571,'m''_extÇ¸rioriser',0.144901567,None,dire,-,0.730265,None,0,0.054717,0,0.121411,0.485644076,4.229844,0,0,0,0.006037,0,None,0.000688,-,0,0,0,NoData,0,0
0,mh_mh,-,0,oui,25.876355,0,5,0,2,0,0,None,0,0,0,1,autre,1,NaN,0,None,29.494393,NaN,0.3464,436.0424,0,NaN,0,0.06,Inf,va_dire,LL,0,0,0,0.2382,-1.623696,1,NaN,12.5976,0.7442,mh_mh,NaN,CID,None,-3.482521,0,0,0.010061,NaN,6750.076156,0,2,0.534609,oui,1,0.846154,0,-0.414898,'m''',-3.695235,NH,0.06,0,30.881184,CID_NH_1_436042.4,NaN,0,0,-6.221157,-5.42498,-5.645593,autre,51.618571,'m''_extÇ¸rioriser',0.145148695,None,dire,mh,0.730265,None,0,0.997184,0,0.121411,0.5,4.229844,0,0,0,0.006037,0,None,0,mh,0,0,0,NoData,1.372,0
