"","slope","feedback","intQ1raw","ordre","othSize","essai","prevSize","laugh","osa","prevRed","prevNbJe","nbouais","size","sess","span","mais","intQ2raw","f0max","pb","start","pa","f0stdev","voila","dur","NanRatio","do","non","dac","durationInterl","intQ2Interl","assert","f0min","opa","opb","height","intQ1Interl","mh","othNbJe","slopeInterl","form2","form1","nbmh","prevNbFeedback","f0maxInterl","oui","NanRatioInterl","ah","intQ3Interl","f0minInterl","spk","duration","et","intQ3raw","id","form3","incomp","osb","intQ1","intQ3","intQ2","posDial","f0stdevInterl","othNbFeedback","aperiodAV","prevNbTu","heightInterl","phonSplit","spanInterl","ouais","othNbTu","ok","steepnessInterl","ndo","steepness","quest","bon","sa","othRed"
"3181",-0.027035,0,54.114208,0,13,0,3,0,0,0,0,1,1,1,1.850489,0,61.033451,0.18862,2.2508,750.3629,0.5256,0.266808,0,0.1815,0.421875,0,0,0,0.3047,-0.605661,1,-1.661869,2.8556,0.2529,-0.236191,-1.865641,0,0,0.019914,5160.569371,211.806165,0,2,1.447356,0,0.9125,0,0.082073,-0.226896,"NH",0.1815,0,62.152599,"CID_NH_1_750362.9",8924.473489,0,0,-1.72903,-0.450269,-0.628305,0.249778911,0.687819,0,0.230759,0,1.167674,0.44077135,1.674253,1,3,0,0.015234,0,-0.012301,0,0,0,0
"3182",-0.007851,0,62.29261,0,13,0,1,0,0,0,0,0,1,1,0.856109,0,66.926552,0.491982,0.5256,751.07,0,0.157174,0,0.18,0.28169,0,0,0,0.3047,-0.605661,1,-0.364127,2.15,0.96,0.387912,-1.865641,0,0,0.019914,9068.854614,315.057302,0,1,1.447356,1,0.9125,0,0.082073,-0.226896,"NH",0.18,0,68.076592,"CID_NH_1_751070",7532.13689111161,0,0,-0.427996,0.49213,0.30918,0.250014289,0.687819,0,0.182054,0,1.167674,0.555555556,1.674253,0,3,0,0.015234,0,-0.003572,0,0,1.9905,0
"3183",0.031208,0.285714286,53.483565,0,2,0,6,0,0,0,0,1,1,1,3.242395,0,59.249842,-0.032858,1.2087,756.6187,2.4824,0.884349,0,0.2002,0.507463,0,0,0,0.3627,-2.262474,0.714285714,-3.275254,2.3411,0.202203871,-0.129963,-2.94306,0,0,-0.064541,5122.299364,212.307652,0,0,-2.642968,0,181,0,0.045158,-2.642968,"NH",0.2002,0,61.383595,"CID_NH_1_756618.7",8738.58934,0,0,-1.829354,-0.572603,-0.912045,0.251861326,0,1,0.174904,0,-2.642968,0.4995005,0,1,0,0,-0.058733,0,0.01576,0,0,0,0
"3184",-0.002534,0,63.446931,0,1,0,2,0,0.5639,0,0,1,1,1,0.501394,0,65.842668,0.451144,1.0836,760.63,0.3896,0.129929,0,0.3804,0.079096,0.3804,0,0,0.51,0.772545,1,-0.05025,0,0,0.209805,0.514373,0,0,0.008353,1647.962629,285.305565,0,0,0.897158,0,0.406593,0,1.079227,-2.470455,"NH",0.3804,0,66.198001,"CID_NH_1_760630",5566.946091,0,1.47,-0.244364,0.193281,0.136754,0.253196598,0.822426,0,0.042566,0,0.199873,0.157728707,3.367613,1,0,0,0.010691,1,-0.00242,0,0,0,0
"3185",-0.004081,0,60.118751,0,1,0,1,0,0,0,0,1,1,1,0.818747,0,61.42346,0.493504,0.3896,761.4,1.4351,0.180767,0,0.3049,0.02,0.1743,0,0,0.2043,-1.137124,1,-0.325243,0.5543,0,-0.141465,-1.56994,0,0,-0.125409,1753.527731,225.133917,0,1,1.775766,0,1.710526,0,0.043715,-3.327023,"NH",0.3049,0,63.041994,"CID_NH_1_761400",5435.173189,0,2.24,-0.773817,-0.308782,-0.566262,0.253452913,1.316581,0,0.023816,0,1.601815,0.590357494,5.102789,1,0,0,-0.064586,0.57166284,-0.003122,0,0,0,0
"3186",-0.00719,0,57.75424,0,5,0,1,0,0,0,0,1,1,1,3.588971,0,61.819514,0.524283,1.4351,763.14,0.3155,0.353338,0,0.2445,0.160377,0,0,0,0.2908,0.47288,1,-3.064688,4.7455,0.16,-0.095393,0.263818,0,0,0.006894,1910.592139,230.681334,0,1,0.923469,0,0.013889,0,0.616245,-0.365187,"NH",0.2445,0,63.458349,"CID_NH_1_763140",5224.938933,0,0,-1.149968,-0.242548,-0.503257,0.25403212,0.34562,0,0.085957,0,0.416736,0.449897751,1.288657,1,0,0,0.005033,0,-0.004422,0,0,0,0
"3187",-0.000584,0.285714286,62.082433,0,1,0,17,0,0,0,0,4,4,1,1.163878,0,64.746302,0.504577,1.02,768.71,0,0.3047,0,1.06,0.139485,0.9002,0,0,0.32,1.513382,0.714285714,-0.659302,3.3149,0,-0.286744,0.557216,0,0,0.000362,8398.534634,343.284301,0,0,1.565258,0,1.555556,0,2.37572,-0.269998,"NH",1.06,0,65.72918,"CID_NH_1_768710",8119.63929677642,0,0.58,-0.461431,0.1187,-0.037658,0.255886248,0.455458,0,0.136296,3,1.188807,-1,1.835256,1,0,0,0.000292,0.849245283,-0.001551,0,0,1.0257,0
"3188",-0.000208,0,62.463847,0,1,0,7,0,0,0,0,1,8,1,1.214629,0,66.639716,0.583589,1.8889,778.23,0.32,0.202741,0,1.48,0.115964,0.86,1,0,0.24,1.535549,0.714285714,-0.63104,3.64,0,0.135651,1.117772,0,0,-0.014841,7809.36831551392,433.186815,0,0,0.643146,0,2.025,0,1.724364,0.00799,"NH",1.48,0,68.807852,"CID_NH_1_778230",7158.51268917915,0.285714286,0.57,-0.400755,0.60846,0.263549,0.259055241,0.191301,0,0.094515,0,0.523022,-1,0.635156,1,0,0,-0.008979,0.581081081,-0.000772,0,0,0,0
"3189",-0.005033,0,59.86354,0,6,0,8,0,0,0,0,0,2,1,0.622541,0,61.232148,0.44851,0.32,780.03,2.2456,0.129701,0,0.2644,0.081301,0,0,0,0.13,0.03143,1,-0.174031,3.0556,0.94,0.053699,-0.33807,0,0,-0.123496,1979.673628,230.060116,0,5,0.895675,1,2,1,0.721273,-0.134874,"NH",0.2644,0,61.623355,"CID_NH_1_780030",8313.575872,0,0,-0.814416,-0.534462,-0.596696,0.259654421,0.277539,2,0.036529,0,0.221589,-1,1.03055,0,0,0,-0.040754,0,-0.003347,0,0,0,0
"3190",-0.002456,0,39.498686,0,1,0,7,0,0.179015612,0,0,3,4,1,4.988358,0,55.687719,0.482619,0.8452,801.2297,4.3007,1.367151,0,0.7196,0.61435,0.7196,0,0,0.4737,0.880173,1,-4.50574,0,0,-0.284171,0.72673,0,0,0.000277,8474.290353,227.852381,0,0,0.934701,0,0.144928,0,0.962016,-0.115959,"NH",0.7196,0,58.764807,"CID_NH_1_801229.7",8142.47762407579,0,1.5691,-4.054093,-0.989205,-1.478713,0.266711323,0.285454,0,0.384042,0,0.40128,-1,1.05066,1,0,0,0.000328,1,-0.00442,0,0,0,1
"3191",0.000853,0,61.894581,0,1,0,1,0,0,0,0,1,1,1,0.755511,0,63.005645,0.360003,4.3007,806.25,0.7554,0.210763,0,0.3346,0.05,0,0,0,0.386733083873961,-2.71702712470573,1,-0.395508,11.5354,2.97,-0.06638,-4.71764133981276,0,0,-0.0631457245223259,2109.858291,210.62603,0,0,-1.19108579792151,0,2.27183672029549,0,-1.04214510777181,-1.07140648252685,"NH",0.3346,0,64.266843,"CID_NH_1_806250",8471.293056,0,0,-0.491315,-0.113931,-0.314565,0.268382468,-0.286217436596953,0,0.035212,0,-0.978795319475584,0.268977884,-0.82851392941731,1,0,0,-0.0212330204606114,0,0.000717,0,0,0,0
"3192",0.002598,0,50.52273,0,1,0,4,0,0,0,0,0,2,1,3.721333,0,52.937257,0.183314,0.49,830.82,0.413754951,0.888532,0,0.45,0.208556,0.293864357,0,0,0.622451819102326,0.487253478039585,1,-3.538019,3.72,0,-0.318593,-0.19967589158197,1,0,-0.11059406015166,8210.857964,203.465565,1,0,1.87114104859468,0,-1.02738628439441,0,1.43989850021503,0.0742490907589968,"NH",0.45,0,54.964912,"CID_NH_1_830820",8874.20546274515,0,2.164988704,-2.300369,-1.593699,-1.916261,0.276561268,0.39891946922371,0,0.103696,0,0.688408564951023,0.596083444,1.59925888365762,0,0,0,-0.0373596521200748,0.653031904,0.002936,0,0,0,0
